title,institute,order,profile
Master of Science ,Ludwig-Maximilians-Universität München,1,profile_133
Master of Science ,University of Alberta,2,profile_133
Bachelor of Science ,Ludwig-Maximilians-Universität München,3,profile_133
Ms In International Business Strategy & Development,emlyon business school,1,profile_134
Ms In International Business Strategy & Development,CentraleSupélec,2,profile_134
"General Engineering Degree, Mechatronic Engineering, Robotics & Automation",Icam - Institut Catholique d'Arts et Métiers,3,profile_134
"Master of Science - Ms, Statistics",Ludwig-Maximilians-Universität München,1,profile_135
"Bachelor of Science - Bs, Econometrics And Quantitative Economics",SGH Warsaw School of Economics,2,profile_135
"Master of Science - Ms, Applied Economics",University of Bath,1,profile_136
"B.Eng., Systems Engineering",Wroclaw University of Science and Technology,2,profile_136
Doctor of Philosophy ,UCL,1,profile_137
Master of Science ,Ludwig-Maximilians-Universität München,2,profile_137
Master of Science ,Technical University of Munich,3,profile_137
"Master's Degree, Informatics",Technical University of Munich,1,profile_138
"B.Tech, Computer Science And Engineering","Shanmugha Arts, Science, Technology and Research Academy",2,profile_138
,Air force school,3,profile_138
"Master of Science - Ms, Economics","Royal Holloway, University of London",1,profile_139
"Doctor of Philosophy - Phd, Economics","Royal Holloway, University of London",2,profile_139
"Bachelor's Degree, Political Science",Università degli Studi di Torino,3,profile_139
Doctor of Philosophy ,University of Tübingen,1,profile_14
"Diplom, Neurobiologie, Zellbiologie, Genetik",Goethe University,2,profile_14
"Vordiplom, Biology, General",University of Kassel,3,profile_14
,Technical University of Munich,1,profile_140
"Master of Science - Ms, Wirtschaftsinformatik",University of Regensburg,1,profile_141
"Postgraduate Diploma, Mathematical Biology",University of Nottingham,1,profile_142
"Master's Degree, Physics",The University of Sheffield,2,profile_142
Master of Science ,Karlsruhe Institute of Technology ,1,profile_143
Bachelor of Science ,Karlsruhe Institute of Technology ,2,profile_143
"Diploma of Education, Business Mathematics",University of Augsburg,1,profile_144
"Bachelor's Degree, Physics",Qingdao University,2,profile_144
Data Science Program,Flatiron School,1,profile_145
"Master of Arts - Ma, Secondary Education And Teaching",Westminster College,2,profile_145
"Bachelor of Science - Bs, Biology Major, Chemistry Minor",Southern Utah University,3,profile_145
"Master of Science - Ms, Economics",Ludwig-Maximilians-Universität München,1,profile_146
"Bachelor of Science - Bs, Volkswirtschaftslehre",Ludwig-Maximilians-Universität München,2,profile_146
Handelsfachwirt Ihk,Akademie Handel e.V.,3,profile_146
Data Analyst,Practicum,1,profile_147
Data Analyst,Practicum100,2,profile_147
"Bachelor's Degree, Mathematics And Computer Science",Babeș-Bolyai University,3,profile_147
Doktoringenieur ,Ruhr University Bochum,1,profile_148
Master of Science ,Karlsruhe Institute of Technology ,2,profile_148
"Exchange Year, Mechanical Engineering",University of Technology Sydney,3,profile_148
"Dr.  Rer. Nat. , Bioinformatik",Technical University of Munich,1,profile_149
Master of Science ,University of Tübingen,2,profile_149
Master of Science ,Hochschule München University of Applied Sciences,1,profile_15
Bachelor of Science ,Hochschule München University of Applied Sciences,2,profile_15
Bachelor of Arts ,Universitatea OVIDIUS din Constanta,3,profile_15
"Master of Science - Ms, Information Systems",Technical University of Munich,1,profile_150
"Bachelor of Science - Bs, Information Systems",Technical University of Munich,2,profile_150
Bachelor's Degree ,Yerevan State University,3,profile_150
"Master of Science - Ms, Computerlinguistik",Ludwig-Maximilians-Universität München,1,profile_151
Computerlinguistik,Ludwig-Maximilians-Universität München,2,profile_151
"Bachelor of Arts - Ba, Romanische Sprachen, Linguistik",Ludwig-Maximilians-Universität München,3,profile_151
"Bachelor of Science - Bs, Bwl & Wirtschaftspsychologie",FOM University of Applied Sciences for Economics and Management,1,profile_152
Physik,Ludwig-Maximilians-Universität München,2,profile_152
"Bachelor of Science - Bs, Wirtschaftsinformatik",Hochschule Landshut,1,profile_153
Abitur,Hans-Leinberger Gymnasium,2,profile_153
Engenharia Eletrônica,Universidade Federal de Pernambuco,1,profile_154
Electrical And Electronic Engineering,University of Aberdeen,2,profile_154
,Colégio de Aplicação da UFPE,3,profile_154
"Master of Economics, Applied Econometrics",Ludwig-Maximilians-Universität München,1,profile_155
Bachelor of Science ,Universidade de São Paulo,2,profile_155
Economics,Universidade de Coimbra,3,profile_155
"Master of Science - Ms, Big Data & Business Analytics",FOM University of Applied Sciences for Economics and Management,1,profile_156
"Bachelor of Science - Bs, Bioprozessinformatik",Fachhochschule Weihenstephan Freising,2,profile_156
"Bachelor's Degree, Biologie/Biologische Wissenschaften, Allgemein",Technical University of Munich,3,profile_156
Bachelor of Technology ,"Bhimavaram Institute of Engineering & Technology, Swamy Gnananadha Ashram Road, Pennada, Bhimavaram , PIN - 534243",1,profile_157
Master of Science ,University of Kassel,1,profile_158
Bachelor of Science ,Yaşar University,2,profile_158
Master's of Education ,Harvard University Graduate School of Education,1,profile_159
"Economics, Asian Studies",University of Rochester,2,profile_159
,Northfield Mount Hermon,3,profile_159
Bachelor of Technology ,"College of Engineering & Management, Kolaghat",1,profile_16
"12, Science",Hindu School,2,profile_16
Diploma ,Latvijas Universitate,1,profile_160
"Mathematics, Mathematics",University of Bremen,2,profile_160
A Levels,Westwood St. Thomas's School,3,profile_160
"Master of Science - Ms, Wirtschaftsingenieurwesen",Karlsruhe Institute of Technology ,1,profile_161
Graduate Exchange Program,National Taiwan University,2,profile_161
"Bachelor of Science - Bs, Wirtschaftsingenieurwesen",Karlsruhe Institute of Technology ,3,profile_161
"Doctor of Philosophy - Phd, Astronomy And Astrophysics",The University of Bonn,1,profile_162
Master of Science ,Københavns Universitet - University of Copenhagen,2,profile_162
Bachelor of Science ,Københavns Universitet - University of Copenhagen,3,profile_162
Master of Engineering ,University of Patras,1,profile_163
"M.A., Cultural & Media Studies",Open University of London,2,profile_163
Diploma In Literary Translation From English To Greek,EKEMEL,3,profile_163
"Master's Degree, Mathematics In Operations Research",Technical University of Munich,1,profile_164
"Bachelor's Degree, Industrial Engineering & Operations Research","University of California, Berkeley",2,profile_164
"Master of Science, Elite Program",Ludwig-Maximilians-Universität München,1,profile_165
"Bachelor of Science - Bs, Informatik",Ludwig-Maximilians-Universität München,2,profile_165
"Certificate, Environmental Studies",Ludwig-Maximilians-Universität München,3,profile_165
"Master's Degree, International Management",Hochschule Furtwangen University,1,profile_166
"Bachelor's Degree, It Management",IITU,2,profile_166
"Master of Science - Ms, Environmental And Resource Management",Brandenburgische Technische Universität Cottbus-Senftenberg,1,profile_167
"Bachelor's Degree, Petroleum & Mining Engineering",Shahjalal University of Science and Technology,2,profile_167
Data Analysis,Masterschool,3,profile_167
"Master of Science - Ms, Computer Science",Universität Passau,1,profile_168
"Bachelor of Technology - Btech, Computer Science",Motivational Pathway,2,profile_168
"Master's Degree, Mathematics",Ludwig-Maximilians-Universität München,1,profile_169
Mathematics,University of Alabama at Birmingham,2,profile_169
,Gymnasium Ehingen,3,profile_169
Bachelor of Science ,Ludwig-Maximilians-Universität München,1,profile_17
Master of Arts ,Ludwig-Maximilians-Universität München,2,profile_17
Bachelor of Arts ,Ludwig-Maximilians-Universität München,3,profile_17
"Master of Science - Ms, Mobile Embedded System",Universität Passau,1,profile_170
"Bachelor of Applied Science - Basc, Mobile Embedded Systems",Universität Passau,2,profile_170
Master of Science ,Ulm University,1,profile_171
"Nanodegree, Ai For Business Leaders",Udacity,2,profile_171
"Nanodegree, Machine Learning Engineer",Udacity,3,profile_171
"Nanodegree, Data Analyst",Udacity,1,profile_172
"Bachelor of Science - Bs, Information Systems And Management",Munich University of Applied Sience,2,profile_172
"Fachabitur, Wirtschaft",Private Fachoberschule Karlsfeld,3,profile_172
Master of Science ,Technical University of Munich,1,profile_173
"Nanodegree, Data Structures And Algorithms",Udacity,2,profile_173
"Nanodegree, Data Scientist",Udacity,3,profile_173
"Master of Science - Ms, Management And Technology",Technical University of Munich,1,profile_174
"Bachelor of Science - Bs, Tum-Bwl",Technical University of Munich,2,profile_174
Engineering,Paris Lodron Universität Salzburg,3,profile_174
Diploma ,Ludwig-Maximilians-Universität München,1,profile_175
"Master's Degree, Computational Physics",Københavns Universitet - University of Copenhagen,1,profile_176
"Bachelor of Science - Bs, Physics",University of Vienna,2,profile_176
"Exchange Student, Physics",University of Illinois Urbana-Champaign,3,profile_176
Master of Science ,FernUniversität in Hagen,1,profile_177
Bachelor of Science ,University of Bayreuth,2,profile_177
"Diplom, Psychologie","Universität Koblenz-Landau, Campus Landau",1,profile_178
Chinesische Sprache Und Literatur,Nanjing University,2,profile_178
"Master, Statistik",Ludwig-Maximilians-Universität München,1,profile_179
Statistik,Promotion,2,profile_179
Research Stay,University of Hull,3,profile_179
"Data Sciences , It & Computer Science",Technical University of Munich,1,profile_18
"F.Sc Pre-Engr, Computer Science",Punjab group of colleges,2,profile_18
"Bachelor's Degree, Computer Software Engineering",Technical University of Munich,3,profile_18
"Master of Science - Ms, Mathematik",Technical University of Munich,1,profile_180
"Bachelor of Science - Bs, Mathematik",University of Regensburg,2,profile_180
"Ms , Software Engineering",BITS Pilani,1,profile_181
"Master's Degree, Mathematical Statistics And Probability",Hochschule München University of Applied Sciences,1,profile_182
Bachelor of Science ,Hochschule München University of Applied Sciences,2,profile_182
Master of Science ,The University of Bonn,1,profile_183
"Master of Science, Systems And Signal Processing - Electronics And Computer Science",University of Southampton,1,profile_184
"Be, Electronics And Communication",Siddaganga Institute of Technology,2,profile_184
"Master of Science - Ms, Management of Textile Trade And Technology",Hochschule Niederrhein,1,profile_185
"Bachelor of Science - Bs, Textile Engineering",Tianjin Polytechnic University,2,profile_185
Master of Science ,University of Chicago,1,profile_187
Bachelor of Science ,EBS Universität für Wirtschaft und Recht,2,profile_187
Semester Abroad,Universidad de Chile,3,profile_187
"Master of Science - Ms, Data Science",University of London,1,profile_188
"Bachelor of Science - Bs, Informatik",Technical University of Munich,2,profile_188
"Master of Science - Ms, Statistik",Ludwig-Maximilians-Universität München,1,profile_189
"Academic Exchange, Statistik",Universitat Politècnica de Catalunya,2,profile_189
"Bachelor of Science - Bs, Statistik",Ludwig-Maximilians-Universität München,3,profile_189
"Master's Degree, International Marketing Management",The Berlin School of Economics and Law,1,profile_19
Data Science Bootcamp,TechLabs,2,profile_19
"Bachelor of Commerce - Bcom, Commerce International With Spanish","National University of Ireland, Galway",3,profile_19
"Master of Arts - Ma, Climate And Society",Columbia University in the City of New York,1,profile_190
Bachelor of Technology ,National Institute of Technology Calicut,2,profile_190
"Doctor of Philosophy - Phd, Physics",Technical University of Munich,1,profile_191
"Dipl.-Phys. Univ., Physik",Technical University of Munich,2,profile_191
Doktor Der Wirtschafts- Und Sozialwissenschaften ,FAU Erlangen-Nürnberg,1,profile_192
"Master of Science , Marketing Research",FAU Erlangen-Nürnberg,2,profile_192
"Forschungspraktikum, Center For Marketing And Consumer Science",KU Leuven,3,profile_192
"Pd, Habilitation, Physics",Technical University of Munich,1,profile_193
"Doctor of Philosophy - Phd, Physics",Università di Pisa,2,profile_193
"Master's Degree, Physics",University of Cyprus,3,profile_193
Bachelor of Technology ,Mahatma Gandhi University,1,profile_194
,Bharatiya Vidya Bhavan,2,profile_194
"Bachelor's Degree, Electrical And Electronics Engineering",Budapest University of Technology and Economics,1,profile_195
"Master's Degree, Data Engineering",Jacobs University Bremen,1,profile_196
"Bachelor's Degree, Electrical Engineering",Siksha 'O',2,profile_196
"Master of Science - Ms, Business Analytics",University of Washington Tacoma,1,profile_197
Bachelor of Technology ,Banasthali Vidyapith,2,profile_197
,Technical University of Munich,1,profile_198
"Master's Degree, Mechanical Engineering",Amirkabir University of Technology - Tehran Polytechnic,2,profile_198
"Bachelor's Degree, Mechanical Engineering",University of Tehran,3,profile_198
Master of Science ,Technische Universität Berlin,1,profile_199
Master of Science ,Tongji University,2,profile_199
Bachelor of Science ,Technische Universität Berlin,3,profile_199
"Nanodegree, Become A Data Scientist",Udacity,1,profile_2
"Nanodegree, Become A Data Analyst",Udacity,2,profile_2
"Nanodegree, Programming For Data Science",Udacity,3,profile_2
"Master's Degree, Mathematik",Technische Universität Darmstadt,1,profile_20
"Bachelor's Degree, Mathematik",Technische Universität Darmstadt,2,profile_20
"Visiting Student, Mathematik",University of Oslo ,3,profile_20
"Master of Science - Ms, Informatics",Technical University of Munich,1,profile_200
"Bachelor of Science - Bs, Computer Science",Technion - Israel Institute of Technology,2,profile_200
"Master's Degree, Computer Science",Technical University of Munich,1,profile_201
Bachelor of Science ,The German University in Cairo,2,profile_201
"Master's Degree, Software Systems Engineering",RWTH Aachen University,1,profile_202
Be Computer Engineering,Savitribai Phule Pune University,2,profile_202
,Indian High School Dubai,3,profile_202
"Master of Science - Ms, Electrical, Electronics And Communications Engineering",Technical University of Munich,1,profile_203
Bachelor of Engineering ,The University of Queensland,2,profile_203
"Bachelor's Degree, Computer Science",University of Hertfordshire,1,profile_204
"Bachelor's Degree, Economics",Universitat Pompeu Fabra,2,profile_204
"Professional Degree In Music, Music",Music Professional Conservatory,3,profile_204
"Engineer's Degree, Applied Math",National Research Nuclear University MEPhI ,1,profile_205
"Doctor of Philosophy - Phd, Informatics",Technical University of Munich,1,profile_206
"Diplom, Embedded Systems",FAU Erlangen-Nürnberg,2,profile_206
"Master of Science - Ms, Applied Economics",Leopold-Franzens Universität Innsbruck,1,profile_207
"Bachelor of Science - Bs, Economics",University of Bayreuth,2,profile_207
"Bachelor of Science - Bs, Economía",Universidad de Guadalajara,3,profile_207
Bachelor of Engineering ,Hochschule Landshut,1,profile_208
"Allgemeine Hochschulreife, Wirtschaft",Staatliche Berufsschule I und BOS Landshut,2,profile_208
"Staatlich Geprüfte Fremdsprachenkorrespondentin, Englisch Fachrichtung Technik Und Französisch",Fremdsprachenschule Landshut,3,profile_208
"Master of Science - Ms, Analytics",Georgia Institute of Technology,1,profile_209
"3 Nanodegrees, Machine Learning Engineer & Deep Learning",Udacity,2,profile_209
Major,ESSEC Business School,3,profile_209
Master of Science ,Ludwig-Maximilians-Universität München,1,profile_21
Bachelor of Science ,Ludwig-Maximilians-Universität München,2,profile_21
"Undergraduate, Political Science",University of South Carolina Aiken,3,profile_21
"Master's Degree, Big Data And Business Analytics",FOM University of Applied Sciences for Economics and Management,1,profile_210
"Bachelor of Engineering - Be, Telecommunications Engineering",Ramaiah Institute Of Technology,2,profile_210
Pcmc,Kendriya Vidyalaya IISc,3,profile_210
Master of Business Administration ,Coburg University - Financial Management,1,profile_211
Finance And Financial Management Services,International Business Seminars,2,profile_211
"Master of Business Administration - Mba, Financial Management",Coburg University - Financial Management,3,profile_211
"Online Programme, Mergers & Acquisitions",Imperial College Business School,1,profile_212
Guest Student,Goethe University,2,profile_212
"Bachelor of Arts - Ba, Business Administration",Hochschule München University of Applied Sciences,3,profile_212
"Master of Engineering-Meng,   Computer Engineering-Software","Islamic Azad University,Science And Research Branch",1,profile_213
Bachelor of Engineering ,University of Science and Culture,2,profile_213
"Diploma, Mathematics",National Organization for Development of Exceptional Talents ,3,profile_213
"Diplom, Physik",University of Tübingen,1,profile_214
"Master of Science - Ms, Economics",Ludwig-Maximilians-Universität München,1,profile_215
"Bachelor of Arts - Ba, Volkswirtschaftslehre",Ludwig-Maximilians-Universität München,2,profile_215
"Master, Elektro-/ Und Informationstechnik",Technical University of Munich,1,profile_216
"Bachelor's Degree, Elektrotechnik Und Informationstechnik",Karlsruhe Institute of Technology ,2,profile_216
"Master's Degree, Mathematik",Technical University of Munich,1,profile_217
"Data Science, Hochschulzertifikatskurs -Berufsbegleitend-",Stuttgart Media University,1,profile_218
Diplom-Ingenieurin ,Bergische Universität Wuppertal,2,profile_218
"Master's Degree, Business Administration And Management, General",Humboldt University of Berlin,1,profile_219
"Branding, Strategic Marketing & Management Consulting",Griffith University,2,profile_219
"Bachelor's Degree, International Business Studies",Paderborn University,3,profile_219
"Doctor, Demography/ Sociology",Université Sorbonne Nouvelle,1,profile_22
"Master of Science - Ms Regional Development , Population And Development",Universidade Federal do Amazonas,2,profile_22
"Bachelor of Arts - Ba, Economics",Universidade Federal do Amazonas,3,profile_22
"Master of Science - Ms, Automation And It",Darmstadt University of Applied Sciences,1,profile_220
"Bachelor In Enginerring, Information Technology",Pondicherry University,2,profile_220
"Master of Science - Ms, Mathematik",Technical University of Munich,1,profile_221
"Bachelor of Science - Bs, Mathematik",Technical University of Munich,2,profile_221
"Master of Science - Ms, Computer Science",Ludwig-Maximilians-Universität München,1,profile_222
"Bachelor's Degree, Computer Science",Baden-Wuerttemberg Cooperative State University ,2,profile_222
"Doctor of Philosophy - Phd, Economics",The University of Edinburgh,1,profile_223
"Master of Science - Ms, Economics ",The University of Edinburgh,2,profile_223
"Bachelor's Degree, Economics",Ludwig-Maximilians-Universität München,3,profile_223
"Physics Master's Degree, Biophysics",Ludwig-Maximilians-Universität München,1,profile_224
Doctor of Philosophy ,University of Kaiserslautern,1,profile_225
Master of Science ,University of Kaiserslautern,2,profile_225
Bachelor of Science ,University of Kaiserslautern,3,profile_225
"Master's Degree, Economics",Friedrich Schiller University Jena,1,profile_226
"Exchange Student, Economics",University of Mississippi,2,profile_226
Master,The Julius Maximilians University of Würzburg,1,profile_227
"Semesters Abroad , School of Management",Zhejiang University,2,profile_227
Bachelor,The Philipp University of Marburg,3,profile_227
"Master's Degree, Data Engineering And Analytics",Technical University of Munich,1,profile_228
"Bachelor's Degree, Computer Science",Technische Universität Darmstadt,2,profile_228
"Bachelor's Degree, German Language And Literature",East China Normal University,3,profile_228
Master of Engineering ,Technische Universiteit Delft,1,profile_229
Bachelor of Engineering ,Warsaw University of Technology,2,profile_229
"Master's Degree, Finances",Banking University,1,profile_23
"Vocational Degree, Retail Management Assistant",Städtische Berufsschule für den Einzelhandel München München,1,profile_230
"High School Diploma, Salesman","Srednja ekonomska škola, Livno",2,profile_230
"Doctor of Philosophy - Phd, Experimental Physics ",University of Cologne,1,profile_231
"Master of Science - Ms , Experimental Physics ",University of Cologne,2,profile_231
"Bachelor of Science - Bs, Physics",Leipzig University,3,profile_231
M.S. In Resource And Applied Economics,"University of Nevada Reno, Nevada, USA",1,profile_232
B.S. In Information Systems,"University of Belgrade, Serbia",2,profile_232
Doktor Der Naturwissenschaften ,Universität des Saarlandes,1,profile_233
Master of Science ,Universität des Saarlandes,2,profile_233
Bachelor of Science ,Universität des Saarlandes,3,profile_233
"Master of Science - Msc, Management",Technical University of Munich,1,profile_234
"University Certificate, Enterprise Resource Planning With Sap ",University of Duisburg-Essen,2,profile_234
"Bachelor of Engineering - Beng, Mechanical Engineering",Anambra State University Uli - Nigeria,3,profile_234
Bwl,Hochschule München,1,profile_235
,Technical University of Munich,2,profile_235
"Master of Science - Ms, Neuro-Cognitive Psychology",Ludwig-Maximilians-Universität München,1,profile_236
"Ph.D., Psychology",Ghent University,2,profile_236
"Bachelor of Science - Bs, Psychology",University of Groningen,3,profile_236
"Doctor of Philosophy - Phd, Physics",University of Kaiserslautern,1,profile_237
Licentiatura En Física ,Pontificia Universidad Católica de Chile,2,profile_237
Master of Engineering ,Universidad de Sevilla,1,profile_238
"Professional Certificate, Project Management",Caltech,2,profile_238
"Bachelor's Degree, Aerospace, Aeronautical And Astronautical Engineering",Technical University of Munich,3,profile_238
"Master's Degree, Financial Economics",ISM University of Management and Economics,1,profile_239
"Bachelors, Industrial Engineering",Marmara University,2,profile_239
"Bachelor of Science, Biology",Universitat Autònoma de Barcelona,1,profile_24
"42.5% Completed, Computer Science",Universitat Oberta de Catalunya,2,profile_24
"Postgraduate Course, Bioinformatics",Universitat Oberta de Catalunya,3,profile_24
"Master's Degree, Psychology",Ludwig-Maximilians-Universität München,1,profile_240
"Master's Degree, Health Science",Technical University of Munich,2,profile_240
"Bachelor's Degree, Psychology",Obafemi Awolowo University,3,profile_240
Data Science Bootcamp,Flatiron School,1,profile_241
Master of Business Administration ,Villanova University,2,profile_241
"Bachelor's Degree, Finance",Florida Atlantic University,3,profile_241
Agribusiness/Agricultural Business Operations,University of Hohenheim,1,profile_242
"Specialist, Economic Analysis / Controlling",Saint Petersburg State University of Finance and Economics,2,profile_242
High School,Schule mit erweitertem Deutschunterricht Nr.75 ,3,profile_242
"Master's Degree, Environmental Science",Ludwig-Maximilians-Universität München,1,profile_243
"Master's Degree, Geophysics And Seismology",Ludwig-Maximilians-Universität München,2,profile_243
"Bachelor's Degree, Bioinformatics",Fachhochschule Weihenstephan Freising,3,profile_243
"Diplom Geograph, Sozialgeographie, Geoinformatik, Public Health/ Epidemiologie",Ludwig-Maximilians-Universität München,1,profile_244
"Data Science , Computer Programming",Le Wagon,1,profile_245
"Master of Science - Ms, Wirtschaftsinformatik",The Julius Maximilians University of Würzburg,2,profile_245
"Bachelor of Science - Bs, Wirtschaftsinformatik",University of Augsburg,3,profile_245
"Master of Science - Ms, Computational Linguistics",Ludwig-Maximilians-Universität München,1,profile_246
